Relative_Alt_m,Pressure_Pa
-1.704,101345.47
-1.703,101345.46
-1.704,101345.47
-1.705,101345.48
-1.703,101345.46
-1.701,101345.44
-1.699,101345.41
-1.697,101345.39
-1.697,101345.39
-1.698,101345.4
-1.699,101345.41
-1.707,101345.51
-1.705,101345.48
-1.705,101345.48
-1.704,101345.47
-1.704,101345.47
-1.704,101345.47
-1.703,101345.46
-1.703,101345.46
-1.7,101345.42
-1.699,101345.41
-1.698,101345.4
-1.698,101345.4
-1.698,101345.4
-1.698,101345.4
-1.7,101345.42
-1.696,101345.38
-1.855,101347.29
-1.979,101348.78
-1.969,101348.66
-2.514,101355.2
-2.925,101360.14
-2.895,101359.78
-2.43,101354.2
-0.009,101325.11
-0.01,101325.12
-0.011,101325.13
-0.01,101325.12
-0.008,101325.1
-0.007,101325.08
-0.008,101325.1
-0.009,101325.11
-0.009,101325.11
-0.01,101325.12
-0.009,101325.11
-0.01,101325.12
-0.008,101325.1
-0.01,101325.12
0.008,101324.9
0.01,101324.88
0.009,101324.89
