-1.687,101345.27
-1.687,101345.27
-1.691,101345.32
-1.693,101345.34
-1.692,101345.33
-1.69,101345.3
-1.688,101345.28
-1.689,101345.29
-1.69,101345.3
-1.69,101345.3
-1.689,101345.29
-1.689,101345.29
-1.788,101346.48
-1.854,101347.27
-1.905,101347.89
-1.957,101348.51
-2.012,101349.17
-2.073,101349.91
-2.139,101350.7
-2.209,101351.54
-8.758,101430.26
-9.911,101444.12
-8.964,101432.73
-1.691,101345.32
-1.688,101345.28
-1.691,101345.32
-1.69,101345.3
-1.691,101345.32
-1.691,101345.32
-1.691,101345.32
-1.692,101345.33
-1.579,101343.97
-1.457,101342.5
-1.855,101347.29
-2.035,101349.45
-1.957,101348.51
-1.798,101346.6
-1.669,101345.05
-1.594,101344.15
-1.57,101343.86
-1.572,101343.89
-1.583,101344.02
-1.605,101344.28
-1.628,101344.56
-1.636,101344.66
-1.53,101343.38
-1.497,101342.99
-1.697,101345.39
-1.844,101347.15
-1.804,101346.67
-1.748,101346.0
-1.703,101345.46
-1.679,101345.17
-1.673,101345.1
-1.695,101345.36
-1.726,101345.74
-1.713,101345.58
-1.632,101344.61
-1.593,101344.14
-1.608,101344.32
-1.638,101344.68
-1.667,101345.03
-1.688,101345.28
-1.69,101345.3
-1.717,101345.63
-1.737,101345.87
-1.77,101346.27
-1.789,101346.49
-1.798,101346.6
-1.801,101346.64
-1.805,101346.69
-1.799,101346.61
-1.79,101346.51
-1.789,101346.49
-1.798,101346.6
-1.8,101346.63
-1.797,101346.59
-1.797,101346.59
-1.796,101346.58
-1.79,101346.51
-1.785,101346.45
-1.794,101346.55
-1.799,101346.61
-1.8,101346.63
-1.792,101346.53
-1.794,101346.55
-1.789,101346.49
-1.793,101346.54
-1.796,101346.58
-1.805,101346.69
-1.804,101346.67
-1.796,101346.58
-1.792,101346.53
-1.797,101346.59
-1.801,101346.64
-1.8,101346.63
-1.804,101346.67
-1.802,101346.65
-1.795,101346.57
-1.79,101346.51
-1.798,101346.6
-1.803,101346.66
-1.801,101346.64
-1.798,101346.6
-1.798,101346.6
-1.8,101346.63
-1.88,101347.59
-2.024,101349.32
-2.12,101350.47
-2.244,101351.96
-2.291,101352.53
-2.285,101352.45
-2.299,101352.62
-2.316,101352.83
-2.333,101353.03
-2.338,101353.09
-2.342,101353.14
-2.334,101353.04
-2.324,101352.92
-2.321,101352.89
-2.306,101352.71
-2.309,101352.74
-2.326,101352.95
-2.331,101353.01
-2.25,101352.03
-2.026,101349.34
-1.881,101347.6
-1.866,101347.42
-1.813,101346.78
-1.797,101346.59
-1.796,101346.58
-1.806,101346.7
-1.798,101346.6
-1.795,101346.57
-1.852,101347.25
-1.992,101348.93
-2.061,101349.76
-2.073,101349.91
-2.074,101349.92
-2.071,101349.88
-2.083,101350.03
-2.068,101349.85
-2.065,101349.81
-2.061,101349.76
-2.017,101349.23
-1.963,101348.58
-1.908,101347.92
-1.873,101347.5
-1.827,101346.95
-1.817,101346.83
-1.806,101346.7
-1.795,101346.57
-1.791,101346.52
-1.809,101346.73
-1.821,101346.88
-1.82,101346.87
-1.809,101346.73
-1.815,101346.81
-1.809,101346.73
-1.808,101346.72
-1.812,101346.77
-1.826,101346.94
-1.821,101346.88
-1.809,101346.73
-1.931,101348.2
-2.104,101350.28
-2.256,101352.1
-2.337,101353.08
-2.318,101352.85
-2.291,101352.53
-2.284,101352.44
-2.292,101352.54
-2.308,101352.73
-2.317,101352.84
-2.316,101352.83
-2.315,101352.81
-2.31,101352.75
-2.308,101352.73
-2.31,101352.75
-2.319,101352.86
-2.323,101352.91
-2.316,101352.83
-2.307,101352.72
-2.211,101351.56
-2.026,101349.34
-1.934,101348.24
-1.94,101348.31
-1.892,101347.73
-1.838,101347.08
-1.802,101346.65
-1.782,101346.41
-1.787,101346.47
-1.781,101346.4
-1.581,101343.99
-1.396,101341.77
-1.924,101348.12
-2.152,101350.86
-2.08,101349.99
-2.045,101349.57
-2.011,101349.16
-1.921,101348.08
-2.019,101349.26
-1.851,101347.24
-1.739,101345.89
-1.67,101345.06
-1.538,101343.48
-1.536,101343.45
-1.536,101343.45
-1.517,101343.23
-1.587,101344.07
-1.601,101344.23
-1.645,101344.76
-1.661,101344.96
