zaman_damgasi_utc,press_abs_hPa,press_abs2_hPa
2025-06-15T13:11:41.787718,1012.7130126953125,1001.8999633789062
2025-06-15T13:11:42.787782,1012.7118530273438,1001.5
2025-06-15T13:11:43.787926,1012.69287109375,1001.3999633789062
2025-06-15T13:11:44.788272,1012.6887817382812,1001.7999877929688
2025-06-15T13:11:45.788826,1012.7068481445312,1002.199951171875
2025-06-15T13:11:46.788951,1012.6934204101562,1002.5999755859375
2025-06-15T13:11:47.887841,1012.6822509765625,1003.2999877929688
2025-06-15T13:11:48.888460,1012.6900634765625,1012.7999877929688
2025-06-15T13:11:49.888472,1012.686279296875,1018.5999755859375
2025-06-15T13:11:50.991854,1012.6682739257812,1015.199951171875
2025-06-15T13:11:51.991878,1012.6664428710938,1036.0
2025-06-15T13:11:52.996178,1012.6627197265625,1051.9000244140625
2025-06-15T13:11:53.996958,1012.6524047851562,1052.199951171875
2025-06-15T13:11:54.997090,1012.65966796875,1059.0
2025-06-15T13:11:56.087303,1012.6571655273438,1068.0
2025-06-15T13:11:57.187762,1012.65771484375,1003.3999633789062
2025-06-15T13:11:58.287347,1012.676513671875,1001.7999877929688
